,站點,城市,aqi
442,竹山,南投縣,24
443,中壢,桃園市,34
444,三重,新北市,32
445,冬山,宜蘭縣,23
446,宜蘭,宜蘭縣,14
447,陽明,臺北市,11
448,花蓮,花蓮縣,11
449,臺東,臺東縣,6
450,恆春,屏東縣,9
451,潮州,屏東縣,29
452,屏東,屏東縣,31
453,小港,高雄市,26
454,前鎮,高雄市,27
455,前金,高雄市,29
456,左營,高雄市,41
457,楠梓,高雄市,29
458,林園,高雄市,28
459,大寮,高雄市,34
460,鳳山,高雄市,20
461,仁武,高雄市,35
462,橋頭,高雄市,33
463,美濃,高雄市,28
464,臺南,臺南市,29
465,安南,臺南市,34
466,善化,臺南市,28
467,新營,臺南市,30
468,嘉義,嘉義市,24
469,臺西,雲林縣,23
470,朴子,嘉義縣,33
471,新港,嘉義縣,40
472,崙背,雲林縣,31
473,斗六,雲林縣,24
474,南投,南投縣,17
475,二林,彰化縣,45
476,線西,彰化縣,13
477,彰化,彰化縣,14
478,西屯,臺中市,19
479,忠明,臺中市,16
480,大里,臺中市,13
481,沙鹿,臺中市,22
482,豐原,臺中市,12
483,三義,苗栗縣,10
484,苗栗,苗栗縣,9
485,頭份,苗栗縣,21
486,新竹,新竹市,22
487,竹東,新竹縣,22
488,湖口,新竹縣,31
489,龍潭,桃園市,21
490,平鎮,桃園市,24
491,觀音,桃園市,36
492,大園,桃園市,25
493,桃園,桃園市,41
494,大同,臺北市,41
495,松山,臺北市,20
496,古亭,臺北市,24
497,萬華,臺北市,28
498,中山,臺北市,34
499,士林,臺北市,26
500,淡水,新北市,18
501,林口,新北市,27
502,菜寮,新北市,31
503,新莊,新北市,40
504,板橋,新北市,37
505,土城,新北市,34
506,新店,新北市,42
507,萬里,新北市,14
508,汐止,新北市,30
509,基隆,基隆市,15
510,屏東(枋山),屏東縣,15
511,大甲（日南國小）,臺中市,13
512,新北(樹林),新北市,36
513,屏東（琉球）,屏東縣,23
514,臺南（麻豆）,臺南市,29
515,高雄（湖內）,高雄市,27
516,彰化（員林）,彰化縣,23
517,大城,彰化縣,25
518,富貴角,新北市,16
519,麥寮,雲林縣,17
520,關山,臺東縣,17
521,馬公,澎湖縣,29
522,金門,金門縣,23
523,馬祖,連江縣,31
524,埔里,南投縣,36
525,復興,高雄市,26
526,永和,新北市,34
527,竹山,南投縣,25
528,中壢,桃園市,36
529,三重,新北市,32
530,冬山,宜蘭縣,22
531,宜蘭,宜蘭縣,14
532,陽明,臺北市,11
533,花蓮,花蓮縣,12
534,臺東,臺東縣,6
535,恆春,屏東縣,9
536,潮州,屏東縣,29
537,屏東,屏東縣,27
538,小港,高雄市,27
539,前鎮,高雄市,26
540,前金,高雄市,31
541,左營,高雄市,40
542,楠梓,高雄市,27
543,林園,高雄市,28
544,大寮,高雄市,30
545,鳳山,高雄市,21
546,仁武,高雄市,32
547,橋頭,高雄市,34
548,美濃,高雄市,26
549,臺南,臺南市,29
550,安南,臺南市,36
551,善化,臺南市,34
552,新營,臺南市,28
553,嘉義,嘉義市,24
554,臺西,雲林縣,24
555,朴子,嘉義縣,31
556,新港,嘉義縣,39
557,崙背,雲林縣,34
558,斗六,雲林縣,24
559,南投,南投縣,19
560,二林,彰化縣,42
561,線西,彰化縣,17
562,彰化,彰化縣,14
563,西屯,臺中市,20
564,忠明,臺中市,17
565,大里,臺中市,14
566,沙鹿,臺中市,20
567,豐原,臺中市,13
568,三義,苗栗縣,15
569,苗栗,苗栗縣,11
570,頭份,苗栗縣,21
571,新竹,新竹市,28
572,竹東,新竹縣,23
573,湖口,新竹縣,33
574,龍潭,桃園市,23
575,平鎮,桃園市,26
576,觀音,桃園市,37
577,大園,桃園市,25
578,桃園,桃園市,44
579,大同,臺北市,44
580,松山,臺北市,19
581,古亭,臺北市,27
582,萬華,臺北市,23
583,中山,臺北市,32
584,士林,臺北市,32
585,淡水,新北市,18
586,林口,新北市,28
587,菜寮,新北市,31
588,新莊,新北市,41
589,板橋,新北市,39
590,土城,新北市,37
591,新店,新北市,42
592,萬里,新北市,16
593,汐止,新北市,29
594,基隆,基隆市,14
595,屏東(枋山),屏東縣,15
596,大甲（日南國小）,臺中市,12
597,新北(樹林),新北市,38
598,屏東（琉球）,屏東縣,23
599,臺南（麻豆）,臺南市,27
600,高雄（湖內）,高雄市,28
601,彰化（員林）,彰化縣,23
602,大城,彰化縣,28
603,富貴角,新北市,16
604,麥寮,雲林縣,19
605,關山,臺東縣,18
606,馬公,澎湖縣,30
607,金門,金門縣,25
608,馬祖,連江縣,33
609,埔里,南投縣,33
610,復興,高雄市,26
611,永和,新北市,37
612,竹山,南投縣,25
613,中壢,桃園市,37
614,三重,新北市,30
615,冬山,宜蘭縣,20
616,宜蘭,宜蘭縣,13
617,陽明,臺北市,11
618,花蓮,花蓮縣,12
619,臺東,臺東縣,6
620,恆春,屏東縣,11
621,潮州,屏東縣,31
622,屏東,屏東縣,26
623,小港,高雄市,32
624,前鎮,高雄市,24
625,前金,高雄市,31
626,左營,高雄市,41
627,楠梓,高雄市,24
628,林園,高雄市,25
629,大寮,高雄市,30
630,鳳山,高雄市,23
631,仁武,高雄市,30
632,橋頭,高雄市,34
633,美濃,高雄市,25
634,臺南,臺南市,31
635,安南,臺南市,35
636,善化,臺南市,39
637,新營,臺南市,26
638,嘉義,嘉義市,25
639,臺西,雲林縣,19
640,朴子,嘉義縣,27
641,新港,嘉義縣,38
642,崙背,雲林縣,35
643,斗六,雲林縣,25
644,南投,南投縣,20
645,二林,彰化縣,37
646,線西,彰化縣,15
647,彰化,彰化縣,15
648,西屯,臺中市,19
649,忠明,臺中市,16
650,大里,臺中市,13
651,沙鹿,臺中市,19
652,豐原,臺中市,13
653,三義,苗栗縣,12
654,苗栗,苗栗縣,13
655,頭份,苗栗縣,22
656,新竹,新竹市,29
657,竹東,新竹縣,23
658,湖口,新竹縣,31
659,龍潭,桃園市,27
660,平鎮,桃園市,28
661,觀音,桃園市,35
662,大園,桃園市,35
663,桃園,桃園市,40
664,大同,臺北市,47
665,松山,臺北市,21
666,古亭,臺北市,28
667,萬華,臺北市,24
668,中山,臺北市,33
669,士林,臺北市,33
670,淡水,新北市,19
671,林口,新北市,27
672,菜寮,新北市,31
673,新莊,新北市,39
674,板橋,新北市,38
675,土城,新北市,38
676,新店,新北市,41
677,萬里,新北市,17
678,汐止,新北市,27
679,基隆,基隆市,14
680,屏東(枋山),屏東縣,15
681,大甲（日南國小）,臺中市,12
682,新北(樹林),新北市,39
683,屏東（琉球）,屏東縣,24
684,臺南（麻豆）,臺南市,26
685,高雄（湖內）,高雄市,28
686,彰化（員林）,彰化縣,22
687,大城,彰化縣,29
688,富貴角,新北市,17
689,麥寮,雲林縣,21
690,關山,臺東縣,15
691,馬公,澎湖縣,31
692,金門,金門縣,27
693,馬祖,連江縣,36
694,埔里,南投縣,31
695,復興,高雄市,24
696,永和,新北市,39
697,竹山,南投縣,26
698,中壢,桃園市,36
699,三重,新北市,33
700,冬山,宜蘭縣,19
701,宜蘭,宜蘭縣,13
702,陽明,臺北市,12
703,花蓮,花蓮縣,12
704,臺東,臺東縣,7
705,恆春,屏東縣,10
706,潮州,屏東縣,33
707,屏東,屏東縣,27
708,小港,高雄市,45
709,前鎮,高雄市,25
710,前金,高雄市,33
711,左營,高雄市,41
712,楠梓,高雄市,26
713,林園,高雄市,27
714,大寮,高雄市,30
715,鳳山,高雄市,24
716,仁武,高雄市,31
717,橋頭,高雄市,34
718,美濃,高雄市,27
719,臺南,臺南市,31
720,安南,臺南市,36
721,善化,臺南市,41
722,新營,臺南市,25
723,嘉義,嘉義市,27
724,臺西,雲林縣,21
725,朴子,嘉義縣,23
726,新港,嘉義縣,40
727,崙背,雲林縣,34
728,斗六,雲林縣,27
